town,district,term,gt_page,searched_pages,searched_pages_expanded,expected,expected_extended,rationale,extracted_text,actual,correct_page_searched,actual_normalized,expected_normalized,correct_answer
bozrah,Industrial-30,min_lot_size,[26],[26],[25 26 27 28],30000,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (1, 2): \n30,000 square feet']","30,000 sq ft",True,30000.0,30000.0,True
bozrah,Industrial-30,min_lot_size,[26],[50],[49 50 51 52],30000,,,,,False,,30000.0,False
branford,Residence R-3,min_lot_size,[40],[41],[40 41],15000,0.34,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (2, 5): \nR-3' 'CELL (3, 5): \n15,000']","15,000 sq ft",True,15000.0,15000.0,True
branford,Residence R-3,min_lot_size,[40],[97],[96 97 98 99],15000,0.34,,,,False,,15000.0,False
branford,Multifamily Residence,min_lot_size,[40],[41],[40 41],130680,3,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (3, 8): \n130,680']","130,680 sq ft",True,130680.0,130680.0,True
branford,Multifamily Residence,min_lot_size,[40],[90],[89 90],130680,3,,,,False,,130680.0,False
branford-pine-orchard,A-1,min_lot_size,[20],[21],[20 21 22 23 24],20000,0.46,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (3, 3): \n20,000']","20,000 sq ft",True,20000.0,20000.0,True
branford-pine-orchard,A-1,min_lot_size,[20],[9],[ 8  9 10 11],20000,0.46,,,,False,,20000.0,False
branford-short-beach,Business C,min_lot_size,[23],,,4500,0.1,,,,False,,4500.0,False
bridgeport,Mixed Use Neighborhood Corners,min_lot_size,[],,,,,,,,True,,,True
bridgeport,Mixed Use Corridor,min_lot_size,[],,,,,,,,True,,,True
bridgewater,Commercial,min_lot_size,[31],[32],[32 31],130680,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (4, 7): \n130,680']","130,680 sq ft",True,130680.0,130680.0,True
bridgewater,Commercial,min_lot_size,[31],[77],[76 77 78 79],130680,,,,,False,,130680.0,False
bristol,Residential R-40,min_lot_size,[47],[46],[45 46 47],40000,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (2, 2): \n40,000']","40,000 sq ft",True,40000.0,40000.0,True
bristol,Residential R-40,min_lot_size,[47],[39],[40 41 38 39],40000,,,,,False,,40000.0,False
brookfield,Town Center Perimeter Overlay,min_lot_size,[85],,,10000,0.23,,,,False,,10000.0,False
brooklyn,Industrial,min_lot_size,[86],[85],[84 85 86 87],87120,,The section titled 'Minimum Lot area' in the 'LOT STANDARDS' section of the 'INDUSTRIAL ZONE' provides the minimum lot size.,['1. Minimum Lot area\nTwo (2) acres'],2 acres,True,87120.0,87120.0,True
brooklyn,Industrial,min_lot_size,[86],[53],[52 53 54 55],87120,,,,,False,,87120.0,False
brooklyn,Restricted Business,min_lot_size,[74],[229],[228 229 230],20000,0.459,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (2, 4): \n20,000']","20,000 sq ft",False,20000.0,20000.0,True
brooklyn,Restricted Business,min_lot_size,[74],[69],[68 69 70 71],20000,0.459,,,,False,,20000.0,False
burlington,Industrial,min_lot_size,[58],[49],[48 49 50],43560,1,The section titled Minimum Lot Area says the answer explicitly.,"['Minimum Lot Area:\n43,560 square feet of\nbuildable land']","43,560 sq ft",False,43560.0,43560.0,True
canaan-falls-village,Rural Business,min_lot_size,[21],[19],[18 19 20 21 22],40000,0.92,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (1, 2): \n40,000 SF']","40,000 sq ft",True,40000.0,40000.0,True
canaan-falls-village,Rural Business,min_lot_size,[21],[62],[64 61 62 63],40000,0.92,,,,False,,40000.0,False
canterbury,Village Commercial,min_lot_size,[28],[28],[27 28 29 30],60000,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (2, 2): \n1.38 Acres (60,000 square feet)']","1.38 Acres (60,000 square feet)",True,60112.799999999996,60000.0,False
canterbury,Village Commercial,min_lot_size,[28],[28],[27 28 29 30],60000,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (2, 2): \n1.38 Acres (60,000 square feet)']","1.38 Acres (60,000 square feet)",True,60000.0,60000.0,True
canterbury,Village Commercial,min_lot_size,[28],[111],[112 113 110 111],60000,,,,,False,,60000.0,False
canton,R-3 Residential,min_lot_size,[70],[69],[68 69 70 71],,87120 (front); 130680 (rear),The cell that corresponds to the value for min_lot_size in this table has this answer.,"['CELL (5, 2): \n87,120']","87,120 sq ft",True,87120.0,,True
canton,R-3 Residential,min_lot_size,[70],[66],[65 66 67],,87120 (front); 130680 (rear),,,,False,,,True
chaplin,Aquifer Protection,min_lot_size,[],[25],[24 25 26 27],,,The cell that corresponds to the value for min_lot_size in this table has this answer.,"['Minimum Lot Area\nCELL (1, 2): \n2']",2,False,2.0,,False
chaplin,Aquifer Protection,min_lot_size,[],[16],[16 17 18 15],,,,,,True,,,True
